Amount,ProcessedAt,Description
101.5,2024-10-26 20:37:21,Transaction 1
201.75,2024-10-25 20:37:21,Transaction 2
50.25,2024-10-24 20:37:21,Transaction 3
300.0,2024-10-23 20:37:21,Transaction 4
450.0,2024-10-22 20:37:21,Transaction 5
120.45,2024-10-21 20:37:21,Transaction 6
320.85,2024-10-20 20:37:21,Transaction 7
150.95,2024-10-19 20:37:21,Transaction 8
510.65,2024-10-18 20:37:21,Transaction 9
60.75,2024-10-17 20:37:21,Transaction 10
80.0,2024-10-16 20:37:21,Transaction 11
90.5,2024-10-15 20:37:21,Transaction 12
225.35,2024-10-14 20:37:21,Transaction 13
180.6,2024-10-13 20:37:21,Transaction 14
275.8,2024-10-12 20:37:21,Transaction 15
310.25,2024-10-11 20:37:21,Transaction 16
480.75,2024-10-10 20:37:21,Transaction 17
620.85,2024-10-09 20:37:21,Transaction 18
750.45,2024-10-08 20:37:21,Transaction 19
130.0,2024-10-07 20:37:21,Transaction 20
135.0,2024-10-06 20:37:21,Transaction 21
